Year,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
WIN_Fre_2,0.0,5.0,0.0,1.0,0.0,1.0,0.0,7.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,3.0,5.0,2.0,3.0,1.0,2.0,1.0,3.0,2.0,1.0,3.0,2.0,8.0,2.0,4.0,1.0,3.0,8.0,1.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,4.0,7.0,0.0,7.0,2.0,3.0,5.0,0.0,2.0,2.0,0.0,2.0,1.0,6.0,3.0,0.0,3.0,1.0,7.0,3.0,0.0,0.0,1.0,0.0
WIN_Tim_5,nan,71.0,nan,44.0,nan,26.0,34.5,50.0,42.0,nan,311.0,20.0,40.0,57.0,96.0,364.0,71.0,13.0,21.0,59.0,344.0,358.0,60.0,36.5,19.0,147.0,8.0,14.0,33.5,29.5,61.0,76.0,27.0,359.0,354.0,60.5,nan,64.0,356.0,48.0,78.0,41.0,7.0,39.0,43.0,65.0,16.0,48.0,nan,65.0,55.0,nan,75.0,57.0,363.0,76.5,nan,15.0,38.0,40.0,67.5,90.5,nan,59.0,90.5
WIN_Dur_5,nan,2.0,nan,2.0,nan,2.0,1.0,3.0,1.0,nan,1.0,1.0,2.0,1.0,2.0,8.0,10.0,2.5,83.0,2.0,2.0,4.0,2.0,1.5,3.0,1.5,1.0,6.0,2.0,3.0,1.0,2.0,3.0,2.0,2.0,3.0,nan,2.0,1.0,1.0,3.0,13.0,2.0,1.0,8.0,4.0,2.0,2.0,nan,2.0,2.0,nan,1.0,1.0,4.0,2.0,nan,5.0,2.0,3.0,2.5,1.0,nan,3.0,1.0
WIN_Fre_5,0.0,6.0,0.0,3.0,0.0,1.0,2.0,7.0,3.0,0.0,1.0,3.0,1.0,2.0,2.0,4.0,7.0,2.0,1.0,3.0,2.0,1.0,7.0,4.0,2.0,4.0,3.0,5.0,6.0,4.0,3.0,5.0,7.0,1.0,3.0,4.0,0.0,4.0,3.0,1.0,3.0,5.0,7.0,1.0,6.0,3.0,5.0,9.0,0.0,3.0,4.0,0.0,3.0,1.0,5.0,4.0,0.0,2.0,1.0,7.0,6.0,2.0,0.0,1.0,2.0
WIN_Tim_10,nan,12.0,346.0,44.0,69.0,64.5,34.5,49.5,42.0,12.0,351.0,50.0,78.0,21.0,95.5,341.5,21.0,15.5,149.0,41.0,25.0,358.0,48.5,73.5,65.0,61.0,7.0,20.5,45.0,28.0,61.0,46.5,6.5,326.5,362.0,48.5,nan,16.5,360.0,31.0,68.5,38.0,7.0,51.0,23.0,61.5,14.0,47.0,40.0,51.0,58.5,28.0,98.5,57.0,301.0,62.0,nan,24.0,43.0,37.0,17.0,90.5,nan,59.0,126.5
WIN_Dur_10,nan,22.0,1.0,3.0,2.0,3.0,1.0,6.0,2.0,1.0,1.5,1.0,2.0,2.0,8.5,46.5,22.0,2.0,2.0,2.0,1.0,6.0,9.0,1.5,1.0,2.0,2.0,10.5,4.0,8.0,2.0,2.0,1.5,1.0,4.0,2.0,nan,2.0,1.0,1.5,11.0,3.0,2.0,1.0,14.0,6.5,2.0,24.5,2.0,3.0,2.5,1.0,2.5,2.0,3.0,2.0,nan,4.0,4.5,3.0,67.5,2.5,nan,4.0,1.0
WIN_Fre_10,0.0,3.0,2.0,5.0,2.0,2.0,2.0,6.0,3.0,1.0,2.0,6.0,2.0,3.0,2.0,2.0,4.0,6.0,3.0,3.0,6.0,1.0,4.0,6.0,3.0,5.0,3.0,4.0,10.0,3.0,3.0,4.0,8.0,6.0,3.0,8.0,0.0,8.0,5.0,2.0,2.0,5.0,7.0,3.0,5.0,4.0,9.0,4.0,1.0,5.0,6.0,1.0,4.0,3.0,3.0,5.0,0.0,3.0,2.0,11.0,2.0,4.0,0.0,1.0,4.0
WIN_Tim_20,119.0,20.5,4.5,44.0,59.0,103.0,60.0,91.5,43.0,65.0,354.5,29.5,87.0,56.5,41.0,106.0,336.0,19.0,17.5,37.5,72.0,357.0,342.0,56.0,67.5,70.0,66.5,122.0,66.0,9.0,61.0,42.0,356.0,315.0,47.5,6.0,5.0,38.0,13.5,17.0,68.5,38.0,363.0,38.0,94.0,50.0,357.0,29.0,63.5,77.5,78.0,28.0,80.0,53.0,300.0,71.0,58.0,74.0,361.0,87.0,340.0,89.5,361.0,59.0,11.0
WIN_Dur_20,1.0,3.5,2.0,6.0,1.0,2.0,2.0,3.5,2.5,1.0,1.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,103.5,2.5,2.0,4.5,2.0,3.0,1.5,3.0,3.0,4.0,4.0,14.0,4.0,1.0,4.0,11.0,3.5,3.5,1.0,6.0,5.5,2.0,22.0,2.0,3.0,1.0,2.5,7.0,6.0,2.0,3.5,5.5,4.0,1.0,6.5,2.0,8.0,4.5,1.0,5.5,2.0,4.5,2.0,4.5,1.0,8.0,2.0
WIN_Fre_20,1.0,6.0,8.0,5.0,7.0,5.0,5.0,6.0,4.0,4.0,4.0,4.0,7.0,4.0,4.0,3.0,3.0,11.0,2.0,6.0,7.0,2.0,7.0,6.0,6.0,5.0,4.0,4.0,4.0,3.0,5.0,5.0,7.0,5.0,4.0,6.0,1.0,8.0,4.0,3.0,2.0,5.0,7.0,9.0,4.0,3.0,5.0,7.0,6.0,4.0,4.0,1.0,6.0,3.0,3.0,4.0,1.0,4.0,3.0,12.0,5.0,6.0,5.0,1.0,5.0
WIN_Tim_50,57.0,336.0,70.0,89.0,112.0,123.0,49.0,4.5,72.0,32.0,354.0,20.0,35.5,73.0,8.0,249.0,283.0,229.0,334.5,274.0,330.0,344.0,1.0,72.0,6.5,176.0,74.0,356.0,225.0,311.0,35.5,134.0,304.0,274.0,127.0,115.0,7.5,298.5,350.0,48.0,58.0,358.0,106.5,302.0,117.0,307.0,344.0,322.0,274.0,87.5,42.0,357.0,78.5,5.0,293.0,46.5,50.0,74.0,11.0,316.0,274.0,38.5,334.0,59.0,46.5
WIN_Dur_50,2.0,8.0,4.0,75.0,4.0,26.0,9.0,4.0,4.0,8.0,2.5,4.0,65.5,2.0,5.0,7.0,40.0,3.0,3.5,286.0,225.0,5.0,2.0,3.5,8.0,17.0,4.0,140.0,6.0,23.0,127.5,18.0,5.0,229.0,8.0,35.5,20.0,120.0,2.0,9.0,97.0,113.0,166.5,4.0,6.0,2.0,8.0,155.0,258.0,3.5,7.0,1.0,8.0,5.0,347.0,136.5,4.0,6.5,14.5,2.0,365.0,132.5,5.0,38.0,6.5
WIN_Fre_50,7.0,5.0,9.0,2.0,7.0,4.0,7.0,6.0,6.0,7.0,6.0,5.0,2.0,13.0,9.0,7.0,3.0,9.0,8.0,1.0,1.0,7.0,7.0,6.0,6.0,4.0,9.0,2.0,3.0,3.0,2.0,4.0,3.0,1.0,3.0,4.0,4.0,2.0,3.0,3.0,1.0,2.0,2.0,5.0,8.0,6.0,5.0,2.0,1.0,4.0,5.0,3.0,4.0,5.0,1.0,2.0,5.0,4.0,4.0,5.0,1.0,2.0,5.0,1.0,8.0
