Year,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Tim_5,23.0,36.5,36.5,66.0,nan,nan,37.0,54.5,35.5,28.0,4.0,37.0,10.0,333.0,48.5,57.5,4.0,78.0,nan,62.0,50.0,14.5,38.0,94.0,24.0,1.0,46.5,23.0,53.0,57.0,340.0,12.0,22.5,46.0,64.0,41.0,40.5,58.0,63.5,362.0,77.0,340.0,88.0,353.0,39.0
Dur_5,1.0,5.5,2.5,9.0,nan,nan,3.0,1.0,2.5,1.0,4.0,5.0,1.5,1.0,4.0,1.0,1.0,2.0,nan,2.0,2.0,3.5,1.0,13.0,4.0,6.5,2.5,1.0,5.0,3.0,2.0,4.0,3.5,1.0,4.0,2.0,3.0,3.0,3.0,3.0,1.0,4.0,1.0,1.0,3.0
Fre_5,1.0,4.0,8.0,3.0,0.0,0.0,9.0,4.0,6.0,3.0,11.0,11.0,8.0,3.0,6.0,2.0,1.0,3.0,0.0,1.0,3.0,6.0,1.0,4.0,9.0,4.0,6.0,7.0,3.0,3.0,3.0,7.0,6.0,8.0,9.0,1.0,4.0,2.0,4.0,5.0,5.0,3.0,1.0,5.0,6.0
Tim_10,41.0,30.0,23.0,50.0,59.0,nan,22.5,47.0,23.0,54.5,27.0,2.0,337.0,329.0,29.5,64.0,3.0,76.0,80.0,76.5,49.0,14.0,31.0,103.0,364.0,352.5,42.0,37.0,36.0,57.5,348.0,48.0,358.5,66.0,18.0,40.0,31.5,90.0,62.0,28.0,73.0,345.0,63.0,8.5,31.5
Dur_10,1.5,3.0,3.0,3.0,1.0,nan,3.5,2.0,8.5,2.0,4.0,3.5,4.0,2.0,6.0,1.0,3.0,2.5,1.5,3.0,5.0,4.0,1.0,5.0,1.0,3.5,2.0,5.0,3.0,8.0,2.0,7.0,3.5,4.0,9.0,3.0,4.5,4.0,3.0,7.5,3.0,8.5,1.0,4.5,2.5
Fre_10,4.0,7.0,10.0,7.0,2.0,0.0,8.0,7.0,4.0,6.0,11.0,8.0,9.0,5.0,6.0,3.0,5.0,6.0,2.0,4.0,3.0,7.0,2.0,7.0,5.0,6.0,12.0,9.0,8.0,2.0,7.0,8.0,8.0,10.0,7.0,3.0,4.0,4.0,9.0,6.0,5.0,2.0,5.0,4.0,6.0
Tim_20,66.0,352.0,9.5,8.0,99.0,nan,364.0,86.0,329.0,52.0,316.0,350.0,22.5,345.0,336.0,57.0,351.5,34.0,35.0,71.0,41.0,363.0,35.5,90.5,16.0,356.0,47.5,2.5,14.0,30.5,38.5,73.0,337.5,90.0,352.0,24.0,28.5,54.0,55.0,46.0,73.0,334.0,58.0,6.0,19.5
Dur_20,6.5,8.0,37.5,2.0,3.0,nan,4.0,2.0,2.0,3.5,24.0,22.0,15.0,8.0,3.0,5.0,21.5,2.0,2.0,5.0,3.0,7.0,3.0,36.0,4.0,2.0,7.0,15.5,3.0,20.0,2.0,15.0,51.5,16.0,60.0,5.0,13.5,3.0,24.0,5.0,9.0,12.0,9.0,7.0,6.0
Fre_20,6.0,3.0,4.0,5.0,3.0,0.0,8.0,7.0,7.0,8.0,3.0,5.0,6.0,7.0,5.0,4.0,2.0,6.0,7.0,3.0,5.0,3.0,6.0,4.0,7.0,7.0,6.0,4.0,3.0,2.0,10.0,5.0,2.0,6.0,3.0,4.0,4.0,5.0,5.0,5.0,3.0,3.0,3.0,4.0,6.0
Tim_50,345.5,333.0,310.0,361.0,347.5,71.0,336.5,8.0,306.0,356.0,305.5,68.5,309.0,310.0,328.0,78.5,150.0,341.0,7.0,46.0,33.5,338.0,57.0,319.0,345.0,313.0,299.0,304.0,314.0,349.0,315.0,329.5,57.0,315.0,321.5,337.0,352.0,359.0,347.0,313.0,354.5,325.0,48.0,334.0,348.0
Dur_50,8.5,13.0,1.0,6.0,2.5,4.5,101.0,154.0,11.0,13.0,124.0,3.5,111.5,105.0,201.0,6.5,2.0,93.0,5.0,51.5,13.5,1.0,16.5,7.0,211.0,114.5,139.0,120.0,3.0,3.0,202.0,104.0,3.5,2.0,105.5,78.5,2.0,17.0,13.0,6.0,3.0,4.0,44.5,150.0,89.0
Fre_50,4.0,4.0,3.0,3.0,8.0,4.0,2.0,1.0,3.0,3.0,2.0,4.0,2.0,2.0,1.0,4.0,3.0,2.0,5.0,2.0,4.0,3.0,4.0,3.0,1.0,2.0,2.0,2.0,3.0,3.0,1.0,2.0,4.0,5.0,2.0,2.0,5.0,3.0,3.0,4.0,4.0,3.0,2.0,1.0,2.0
